checkpoint,train_h,train_r,train_t,test_h,test_r,test_t,influence
model_10.pt,CHEBI:8024,predicate:2,MONDO:0043510,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:28077,predicate:0,MONDO:0005244,CHEBI:52717,predicate:2,MONDO:0006468,0.0
model_10.pt,CHEBI:8077,predicate:2,MONDO:0004994,CHEBI:52717,predicate:2,MONDO:0006468,37.958961486816406
model_10.pt,UNII:YI437801BE,predicate:2,MONDO:0001056,CHEBI:52717,predicate:2,MONDO:0006468,-8.64521598815918
model_10.pt,CHEBI:2549,predicate:3,UMLS:C0267596,CHEBI:52717,predicate:2,MONDO:0006468,0.0
model_10.pt,CHEBI:91398,predicate:2,MONDO:0005061,CHEBI:52717,predicate:2,MONDO:0006468,-18.944730758666992
model_10.pt,CHEBI:28838,predicate:3,HP:0000217,CHEBI:52717,predicate:2,MONDO:0006468,0.0
model_10.pt,CHEBI:81579,predicate:3,HP:0000969,CHEBI:52717,predicate:2,MONDO:0006468,0.0
model_10.pt,UNII:83G67E21XI,predicate:2,MONDO:0012725,CHEBI:52717,predicate:2,MONDO:0006468,43.019805908203125
model_10.pt,CHEBI:175901,predicate:0,MONDO:0004982,CHEBI:52717,predicate:2,MONDO:0006468,0.0
model_10.pt,CHEBI:28790,predicate:0,MONDO:0001673,CHEBI:52717,predicate:2,MONDO:0006468,0.0
model_10.pt,CHEBI:17833,predicate:2,MONDO:0005369,CHEBI:52717,predicate:2,MONDO:0006468,-89.76911926269531
model_10.pt,CHEBI:63605,predicate:1,MONDO:0005071,CHEBI:52717,predicate:2,MONDO:0006468,0.0
model_10.pt,CHEBI:6809,predicate:0,HP:0001714,CHEBI:52717,predicate:2,MONDO:0006468,0.0
model_10.pt,CHEBI:8028,predicate:0,MONDO:0001584,CHEBI:52717,predicate:2,MONDO:0006468,0.0
model_10.pt,UNII:90ZX3Q3FR7,predicate:0,MONDO:0004781,CHEBI:52717,predicate:2,MONDO:0006468,0.0
